Name	Address	latitude	longitude
Royaltea USA	38509 Fremont Blvd, Fremont	37.540471	-121.972403
Chick & Tea	3932 Telegraph Ave, Oakland	37.840436	-122.261863
Mr Green Bubble	4299 Piedmont Ave, Oakland	37.828464	-122.24952
Juice A-Go-Go	901 Franklin St, Oakland	37.800558	-122.272178
The Sweet Booth	388 9th St, Oakland	37.800356	-122.271787
Shiny Tea	901 Franklin St, Oakland	37.800558	-122.272178
50 Tea	1004 Webster St, Oakland	37.800722	-122.270362
U Tea Cafe	1728 A Franklin St, Oakland	37.801019	-122.271743
Quickly	1243 33rd Ave, Oakland	37.776573	-122.224983
T4	1068 Webster St, Oakland	37.800955	-122.270129
Sancha Bar	251 9th St, Oakland	37.79904	-122.268912
Sweetheart Cafe	315 9th St, Oakland	37.799575	-122.270236
Bambu	839 International Blvd, Oakland	37.739247	-122.16673
9th Sweet Cafe	536 9th St, Oakland	37.801764	-122.275376
T&Bowl	901 Franklin St, Oakland	37.800558	-122.272178
Wing Man	5295 College Ave, Oakland	37.848067	-122.252138
Asha Tea House	2086 University Ave, Berkeley	37.87194	-122.268831
U Cha	2199 Bancroft Way, Berkeley	37.86789	-122.266155
Sharetea	2440 Bancroft Way, Berkeley	37.868481	-122.260471
Bubble Tea Share Time	1938 Shattuck Ave, Berkeley	37.873132	-122.268691
Purple Kow	2164 Center St, Berkeley	37.870429	-122.26655
Tea Press	2552 Bancroft Way, Berkeley	37.868791	-122.258061
Tea One	2380 Telegraph Ave, Berkeley	37.86729	-122.259001
Boba Ninja	2519 B Durant Ave, Berkeley	37.86794	-122.258012
Tea Fever	2202 Shattuck Ave, Berkeley	37.869152	-122.268268
Face to Face	2109 Milvia St, Berkeley	37.87055	-122.270508
723 Tea Station	2431 B Durant Ave, Berkeley	37.867916	-122.259907
Quickly	2505 G Hearst Ave, Berkeley	37.875495	-122.25981
UCafe	2550 Durant Ave, Berkeley	37.867894	-122.257828
Klevor Cup	2300 Telegraph Ave, Berkeley	37.868583	-122.259269
85C Bakery Cafe	21 Shattuck Ave, Berkeley	37.871969	-122.268188
Plentea	2430 Durant Ave, Berkeley	37.867675	-122.259467
i-Tea	20666 Redwood Rd, Castro Valley	37.697781	-122.073885
T4	18911 Lake Chabot Rd, Castro Valley	37.695404	-122.086925
Cloud 9 Teahouse	20669 Santa Maria Ave, Castro Valley	37.695853	-122.078473
Quickly	20893 Redwood Rd, Castro Valley	37.697781	-122.073885
Tea Station	39115 Cedar Blvd, Newark	37.539427	-122.021081
i-Tea	34925 Newark Blvd, Newark	37.551111	-122.051004
Mandro Tea House	34956 Newark Blvd, Newark	37.550938	-122.050259
Tea O Day	39185 Cedar Blvd, Newark	37.539427	-122.021081
